customer_id,document_type,age,segment,district,kyc_status,risk_level,signup_date,monthly_income_pen
C000001,DNI,46,mass_market,Lima,verified,medium,2024-09-28,2459.41
C000002,DNI,29,premium,Lima,verified,low,2023-11-08,1458.35
C000003,DNI,36,affluent,Miraflores,verified,high,2023-05-07,2713.62
C000004,PASSPORT,26,affluent,La Molina,verified,low,2024-01-12,3237.53
C000005,DNI,35,mass_market,Miraflores,verified,low,2023-12-11,2479.83
C000006,DNI,46,mass_market,Cusco,verified,low,2023-08-13,2326.79
C000007,DNI,20,mass_market,Cusco,verified,medium,2023-01-17,1227.82
C000008,DNI,40,sme,Miraflores,verified,low,2024-05-11,3588.48
C000009,DNI,47,affluent,Miraflores,pending,medium,2024-04-17,1034.37
C000010,CE,63,affluent,La Molina,verified,low,2023-11-07,3032.35
C000011,DNI,41,mass_market,San Borja,verified,medium,2023-05-17,1108.17
C000012,DNI,70,premium,Callao,pending,medium,2024-04-19,3064.92
C000013,DNI,54,sme,Trujillo,verified,medium,2023-08-05,2970.94
C000014,DNI,54,mass_market,Cusco,verified,low,2023-07-15,3721.34
C000015,DNI,21,mass_market,Callao,verified,low,2023-07-20,4789.86
C000016,DNI,74,mass_market,Miraflores,verified,low,2024-01-01,5303.77
C000017,DNI,71,mass_market,La Molina,verified,low,2024-12-19,1229.64
C000018,DNI,45,mass_market,Surco,verified,low,2024-06-11,2887.04
C000019,DNI,33,mass_market,La Molina,verified,medium,2024-02-04,9009.34
C000020,CE,30,mass_market,Arequipa,verified,low,2024-06-08,3182.76
C000021,CE,25,affluent,Arequipa,verified,medium,2024-08-12,1887.03
C000022,DNI,73,mass_market,Callao,verified,low,2023-08-02,2853.11
C000023,DNI,70,mass_market,Lima,verified,low,2023-12-07,2413.86
C000024,DNI,65,mass_market,Arequipa,verified,low,2023-11-25,1560.79
C000025,DNI,42,mass_market,Arequipa,verified,medium,2023-04-29,4807.86
C000026,DNI,19,affluent,San Borja,verified,low,2024-02-29,4110.89
C000027,DNI,47,mass_market,Surco,verified,medium,2024-11-23,1430.84
C000028,DNI,57,mass_market,San Borja,pending,low,2024-01-08,2831.89
C000029,DNI,20,affluent,Surco,verified,high,2024-10-10,2182.98
C000030,DNI,40,mass_market,Piura,verified,low,2023-06-28,1235.37
C000031,DNI,46,affluent,Trujillo,verified,low,2024-03-07,1369.02
C000032,DNI,58,mass_market,Cusco,verified,low,2024-12-20,1485.82
C000033,DNI,47,mass_market,Arequipa,verified,medium,2024-02-06,2886.68
C000034,CE,28,premium,Cusco,verified,low,2024-01-29,2317.23
C000035,DNI,38,premium,Arequipa,verified,medium,2024-07-19,1758.9
C000036,DNI,44,sme,San Borja,verified,low,2023-03-20,2402.98
C000037,DNI,41,mass_market,Trujillo,verified,low,2024-02-28,4496.9
C000038,DNI,69,mass_market,San Borja,verified,low,2023-04-28,3627.08
C000039,DNI,48,affluent,San Borja,verified,low,2024-01-03,5172.07
C000040,DNI,47,mass_market,Surco,verified,low,2023-04-16,2629.18
C000041,DNI,18,mass_market,Lima,verified,medium,2023-04-15,7196.91
C000042,DNI,18,mass_market,La Molina,verified,high,2023-10-30,3609.93
C000043,DNI,71,mass_market,Callao,verified,low,2024-09-21,2278.1
C000044,DNI,25,sme,Cusco,verified,medium,2023-05-28,3137.32
C000045,DNI,65,mass_market,Piura,verified,low,2023-05-30,1500.51
C000046,DNI,59,affluent,Arequipa,verified,low,2023-09-13,2518.95
C000047,CE,51,mass_market,San Borja,verified,low,2023-03-23,3776.25
C000048,DNI,33,mass_market,Lima,verified,low,2023-01-16,4173.12
C000049,DNI,44,mass_market,San Borja,verified,low,2023-07-12,2378.94
C000050,DNI,21,mass_market,Trujillo,verified,low,2024-12-23,13408.44
C000051,DNI,36,premium,Surco,rejected,low,2023-03-15,2711.58
C000052,DNI,46,affluent,Piura,rejected,medium,2023-10-04,1184.27
C000053,DNI,58,premium,La Molina,verified,low,2023-03-02,5809.77
C000054,DNI,20,sme,Trujillo,verified,medium,2024-06-19,4162.7
C000055,CE,28,affluent,Miraflores,verified,medium,2024-06-18,3386.08
C000056,DNI,25,premium,Piura,verified,low,2023-12-09,2308.36
C000057,DNI,56,mass_market,San Borja,verified,low,2024-01-30,3700.93
C000058,DNI,50,mass_market,Trujillo,pending,low,2023-09-15,7262.35
C000059,DNI,25,mass_market,La Molina,verified,medium,2023-07-17,3330.57
C000060,DNI,42,mass_market,Lima,verified,high,2023-02-22,1328.07
C000061,DNI,41,mass_market,Lima,verified,medium,2024-10-12,446.15
C000062,DNI,43,mass_market,Cusco,verified,low,2023-09-28,3683.09
C000063,DNI,43,sme,La Molina,verified,medium,2023-07-20,1733.24
C000064,DNI,34,mass_market,Lima,verified,low,2024-01-31,2821.88
C000065,DNI,44,mass_market,Trujillo,verified,low,2024-01-13,1910.28
C000066,PASSPORT,46,mass_market,Cusco,verified,low,2024-11-06,1836.29
C000067,DNI,60,mass_market,Lima,verified,medium,2024-08-26,1956.87
C000068,DNI,56,sme,Piura,verified,high,2024-06-18,2056.62
C000069,DNI,26,mass_market,Surco,verified,low,2023-03-29,4568.45
