alert_id,transaction_id,alert_rule,score,alert_status,created_ts
A0000001,T00021927,cross_border,63.73,review,2025-03-10 08:40:50
A0000002,T00014906,risky_category,71.76,review,2025-10-11 00:29:17
A0000003,T00022163,cross_border,93.88,escalated,2025-01-27 08:42:04
A0000004,T00020963,risky_category,59.37,review,2025-11-21 17:21:39
A0000005,T00021566,cross_border,48.35,closed,2025-07-21 13:31:27
A0000006,T00001874,high_amount,19.89,closed,2025-05-17 20:05:50
A0000007,T00001523,new_device,65.04,review,2025-07-12 03:23:36
A0000008,T00023650,risky_category,66.73,review,2025-04-08 13:56:30
A0000009,T00001431,velocity,60.96,review,2025-07-12 07:06:53
A0000010,T00011226,high_amount,48.96,closed,2025-02-03 18:34:20
A0000011,T00006823,high_amount,59.02,review,2025-10-16 10:00:56
A0000012,T00005358,high_amount,58.82,review,2025-09-04 13:51:25
A0000013,T00013586,new_device,44.0,closed,2025-01-04 06:01:56
A0000014,T00015252,high_amount,59.06,review,2025-08-06 11:14:46
A0000015,T00003607,new_device,25.57,closed,2025-01-25 12:49:50
A0000016,T00010035,blacklist_match,76.79,escalated,2025-09-28 01:18:37
A0000017,T00014210,blacklist_match,64.25,review,2025-03-03 07:16:46
A0000018,T00015017,blacklist_match,74.08,review,2025-01-11 22:57:22
A0000019,T00012739,new_device,23.97,closed,2025-07-12 22:39:20
A0000020,T00005427,cross_border,75.3,escalated,2025-08-24 08:58:36
A0000021,T00002008,risky_category,15.15,closed,2025-03-25 12:38:34
A0000022,T00022142,velocity,59.9,review,2025-09-06 22:53:19
A0000023,T00008794,cross_border,9.39,closed,2025-03-23 15:51:30
A0000024,T00020179,velocity,88.48,escalated,2025-01-17 02:53:42
A0000025,T00017657,risky_category,34.89,closed,2025-09-29 08:03:25
A0000026,T00009882,high_amount,80.61,escalated,2025-06-16 15:54:07
A0000027,T00002178,new_device,75.78,escalated,2025-02-12 12:10:53
A0000028,T00018147,blacklist_match,38.14,closed,2025-05-09 10:16:53
A0000029,T00017488,velocity,57.5,review,2025-11-27 18:17:39
A0000030,T00000094,blacklist_match,42.94,closed,2025-07-31 13:09:30
A0000031,T00019411,high_amount,48.78,closed,2025-06-24 03:56:12
A0000032,T00020666,blacklist_match,29.48,closed,2025-04-05 18:18:43
A0000033,T00008071,high_amount,38.68,closed,2025-06-27 07:56:56
A0000034,T00015658,risky_category,15.59,closed,2025-02-24 08:29:30
A0000035,T00009170,blacklist_match,40.32,closed,2025-07-08 11:13:50
A0000036,T00006847,high_amount,58.19,review,2025-03-28 00:30:12
A0000037,T00013059,new_device,62.11,review,2025-06-06 16:42:40
A0000038,T00022394,cross_border,83.0,escalated,2025-02-05 07:07:24
A0000039,T00007215,risky_category,69.52,review,2025-08-04 20:43:25
A0000040,T00023248,new_device,60.13,review,2025-07-05 20:57:44
A0000041,T00011342,velocity,72.65,review,2025-01-28 08:14:18
A0000042,T00013811,velocity,30.66,closed,2025-03-24 16:45:39
A0000043,T00003517,high_amount,66.43,review,2025-06-26 21:31:09
A0000044,T00014524,risky_category,69.92,review,2025-05-07 20:26:27
A0000045,T00004649,velocity,75.97,escalated,2025-03-25 21:52:11
A0000046,T00024487,velocity,34.14,closed,2025-11-21 05:16:23
A0000047,T00003063,new_device,47.18,closed,2025-04-25 07:16:22
A0000048,T00019793,new_device,49.25,closed,2025-10-01 22:50:26
A0000049,T00010240,risky_category,57.84,review,2025-12-25 05:04:54
A0000050,T00000459,velocity,81.84,escalated,2025-08-15 15:14:52
A0000051,T00004342,risky_category,63.17,review,2025-12-02 07:12:28
A0000052,T00005561,velocity,29.12,closed,2025-12-16 15:08:10
A0000053,T00018254,new_device,33.73,closed,2025-04-23 09:59:09
A0000054,T00005709,velocity,74.24,review,2025-08-12 09:37:50
A0000055,T00023884,risky_category,48.22,closed,2025-09-28 02:33:11
A0000056,T00015935,velocity,82.79,escalated,2025-02-10 01:08:13
A0000057,T00008663,velocity,82.42,escalated,2025-09-29 07:25:33
A0000058,T00003131,risky_category,63.68,review,2025-08-03 11:47:27
A0000059,T00018855,cross_border,22.64,closed,2025-10-14 07:18:00
A0000060,T00003213,cross_border,62.43,review,2025-02-01 06:03:22
A0000061,T00019266,new_device,72.05,review,2025-04-20 20:47:17
A0000062,T00024092,high_amount,41.26,closed,2025-03-20 17:53:44
A0000063,T00019636,high_amount,73.19,review,2025-01-12 08:35:51
A0000064,T00018066,cross_border,66.64,review,2025-12-06 21:50:03
A0000065,T00009735,high_amount,65.6,review,2025-07-30 16:34:30
A0000066,T00001435,risky_category,64.63,review,2025-10-17 20:01:06
A0000067,T00002742,cross_border,74.88,review,2025-05-13 23:23:00
A0000068,T00016493,cross_border,36.22,closed,2025-04-05 05:31:53
