transaction_id,customer_id,transaction_ts,channel,transaction_type,merchant_category,amount_pen,status,device_id,is_cross_border,is_fraud_confirmed
T00000001,C002650,2025-02-23 14:14:05,api_partner,transfer,grocery,568.94,approved,D0005522,0,0
T00000002,C000335,2025-12-25 12:41:32,atm,transfer,grocery,139.76,approved,D0001789,0,0
T00000003,C004834,2025-09-04 08:31:26,pos,payment,grocery,228.7,approved,D0001773,0,0
T00000004,C002385,2025-07-10 09:49:29,mobile_app,transfer,transport,183.41,approved,D0002080,0,0
T00000005,C000356,2025-05-02 06:18:23,mobile_app,transfer,travel,229.46,approved,D0003233,0,0
T00000006,C001923,2025-05-01 09:31:10,atm,payment,restaurants,452.29,approved,D0001268,0,1
T00000007,C004328,2025-09-16 18:20:07,web,payment,transport,438.11,approved,D0008904,0,0
T00000008,C003339,2025-11-27 08:14:12,mobile_app,transfer,gaming,347.81,approved,D0004364,0,0
T00000009,C000796,2025-02-28 19:25:27,mobile_app,transfer,restaurants,125.97,approved,D0004414,0,0
T00000010,C000190,2025-01-23 07:55:47,mobile_app,transfer,transport,99.34,approved,D0001622,0,0
T00000011,C004144,2025-07-10 11:26:19,web,top_up,grocery,160.7,approved,D0002082,0,0
T00000012,C000814,2025-04-17 23:18:13,atm,payment,travel,49.64,approved,D0006289,1,0
T00000013,C002103,2025-06-16 09:36:20,mobile_app,top_up,restaurants,109.19,declined,D0001847,0,0
T00000014,C003411,2025-08-27 05:09:25,web,payment,utilities,273.83,reversed,D0001909,0,0
T00000015,C002167,2025-01-22 11:25:54,mobile_app,transfer,utilities,28.89,approved,D0008530,0,0
T00000016,C002251,2025-07-07 14:41:39,api_partner,top_up,cash_out,45.35,approved,D0008639,0,0
T00000017,C001680,2025-05-03 08:46:44,mobile_app,payment,grocery,57.48,approved,D0001350,0,0
T00000018,C002059,2025-09-20 16:11:04,web,top_up,transport,49.15,approved,D0005131,0,0
T00000019,C004355,2025-01-22 07:50:11,mobile_app,cash_out,grocery,191.84,approved,D0002972,0,0
T00000020,C004394,2025-02-27 17:47:33,atm,cash_out,grocery,145.45,approved,D0004835,0,0
T00000021,C001221,2025-10-21 14:36:20,mobile_app,payment,utilities,385.78,reversed,D0002627,0,0
T00000022,C001628,2025-01-28 17:37:57,mobile_app,payment,transport,35.73,approved,D0006472,0,0
T00000023,C005535,2025-08-31 00:58:15,mobile_app,payment,cash_out,188.56,approved,D0002322,0,0
T00000024,C002381,2025-09-08 16:44:08,pos,payment,education,478.79,approved,D0008617,0,0
T00000025,C001400,2025-12-15 08:40:10,mobile_app,transfer,crypto,1249.81,reversed,D0003268,0,0
T00000026,C000134,2025-11-06 19:24:21,mobile_app,transfer,utilities,24.3,approved,D0002784,0,0
T00000027,C005052,2025-12-04 08:49:49,pos,payment,transport,18.79,approved,D0002551,0,0
T00000028,C002164,2025-10-31 10:51:00,pos,payment,restaurants,179.38,approved,D0001426,0,0
T00000029,C002710,2025-01-30 08:15:16,mobile_app,payment,grocery,37.57,approved,D0002805,0,0
T00000030,C001280,2025-02-20 07:16:07,mobile_app,cash_out,education,58.64,approved,D0008257,0,0
T00000031,C000553,2025-02-17 13:12:15,web,payment,education,184.76,approved,D0000182,0,0
T00000032,C004789,2025-11-22 10:36:47,web,transfer,travel,240.95,declined,D0002077,1,0
